Time Cost: 47.84055209159851s
Community 868: ['4397']
Community 869: ['4398']
Community 870: ['4399']
Community 871: ['4400']
Community 872: ['4402']
Community 873: ['4403']
Community 874: ['4404']
Community 875: ['4405']
Community 876: ['4406']
Community 877: ['4407']
Community 878: ['4408']
Community 879: ['4409']
Community 880: ['4410']
Community 881: ['4411']
Community 882: ['4412']
Community 883: ['4413']
Community 884: ['4414']
Community 885: ['4415']
Community 886: ['4416']
Community 887: ['4417']
Community 888: ['4418']
Community 889: ['4419']
Community 890: ['4420']
Community 891: ['4421']
Community 892: ['4422']
Community 893: ['4423']
Community 894: ['4424']
Community 895: ['4425']
Community 896: ['4426']
Community 897: ['4427']
Community 898: ['4428']
Community 899: ['4429']
Community 900: ['4430']
Community 901: ['4431']
Community 902: ['4432']
Community 903: ['4433']
Community 904: ['4435']
Community 905: ['4436']
Community 906: ['4437']
Community 907: ['4438']
Community 908: ['4439']
Community 909: ['4440']
Community 910: ['4441']
Community 911: ['4442']
Community 912: ['4443']
Community 913: ['4444']
Community 914: ['4445']
Community 915: ['4446']
Community 916: ['4447']
Community 917: ['4448']
Community 918: ['4449']
Community 919: ['4450']
Community 920: ['4451']
Community 921: ['4452']
Community 922: ['4453']
Community 923: ['4454']
Community 924: ['4455']
Community 925: ['4456']
Community 926: ['4457']
Community 927: ['4458']
Community 928: ['4459']
Community 929: ['4460']
Community 930: ['4461']
Community 931: ['4462']
Community 932: ['4463']
Community 933: ['4464']
Community 934: ['4465']
Community 935: ['4467']
Community 936: ['4468']
Community 937: ['4469']
Community 938: ['4470']
Community 939: ['4471']
Community 940: ['4472']
Community 941: ['4473']
Community 942: ['4475']
Community 943: ['4476']
Community 944: ['4477']
Community 945: ['4478']
Community 946: ['4479']
Community 947: ['4480']
Community 948: ['4481']
Community 949: ['4482']
Community 950: ['4483']
Community 951: ['4484']
Community 952: ['4485']
Community 953: ['4486']
Community 954: ['4487']
Community 955: ['4488']
Community 956: ['4489']
Community 957: ['4490']
Community 958: ['4491']
Community 959: ['4492']
Community 960: ['4493']
Community 961: ['4494']
Community 962: ['4495']
Community 963: ['4496']
Community 964: ['4497']
Community 965: ['4498']
Community 966: ['4499']
Community 967: ['4500']
Community 968: ['4501']
Community 969: ['4502']
Community 970: ['4503']
Community 971: ['4504']
Community 972: ['4505']
Community 973: ['4506']
Community 974: ['4508']
Community 975: ['4509']
Community 976: ['4510']
Community 977: ['4511']
Community 978: ['4512']
Community 979: ['4513']
Community 980: ['4514']
Community 981: ['4515']
Community 982: ['4516']
Community 983: ['4517']
Community 984: ['4518']
Community 985: ['4519']
Community 986: ['4520']
Community 987: ['4521']
Community 988: ['4522']
Community 989: ['4523']
Community 990: ['4524']
Community 991: ['4525']
Community 992: ['4526']
Community 993: ['4527']
Community 994: ['4528']
Community 995: ['4529']
Community 996: ['4530']
Community 997: ['4531']
Community 998: ['4532']
Community 999: ['4533']
Community 1000: ['4534']
Community 1001: ['4535']
Community 1002: ['4536']
Community 1003: ['4537']
Community 1004: ['4538']
Community 1005: ['4540']
Community 1006: ['4541']
Community 1007: ['4542']
Community 1008: ['4543']
Community 1009: ['4544']
Community 1010: ['4545']
Community 1011: ['4546']
Community 1012: ['4548']
Community 1013: ['4549']
Community 1014: ['4550']
Community 1015: ['4551']
Community 1016: ['4552']
Community 1017: ['4553']
Community 1018: ['4554']
Community 1019: ['4555']
Community 1020: ['4556']
Community 1021: ['4557']
Community 1022: ['4558']
Community 1023: ['4559']
Community 1024: ['4560']
Community 1025: ['4561']
Community 1026: ['4562']
Community 1027: ['4563']
Community 1028: ['4564']
Community 1029: ['4565']
Community 1030: ['4566']
Community 1031: ['4567']
Community 1032: ['4568']
Community 1033: ['4569']
Community 1034: ['4570']
Community 1035: ['4571']
Community 1036: ['4572']
Community 1037: ['4573']
Community 1038: ['4574']
Community 1039: ['4575']
Community 1040: ['4576']
Community 1041: ['4577']
Community 1042: ['4578']
Community 1043: ['4579']
Community 1044: ['4581']
Community 1045: ['4582']
Community 1046: ['4583']
Community 1047: ['4584']
Community 1048: ['4585']
Community 1049: ['4586']
Community 1050: ['4587']
Community 1051: ['4588']
Community 1052: ['4589']
Community 1053: ['4590']
Community 1054: ['4591']
Community 1055: ['4592']
Community 1056: ['4593']
Community 1057: ['4594']
Community 1058: ['4595']
Community 1059: ['4596']
Community 1060: ['4597']
Community 1061: ['4598']
Community 1062: ['4599']
Community 1063: ['4600']
Community 1064: ['4601']
Community 1065: ['4602']
Community 1066: ['4603']
Community 1067: ['4604']
Community 1068: ['4605']
Community 1069: ['4606']
Community 1070: ['4607']
Community 1071: ['4608']
Community 1072: ['4609']
Community 1073: ['4610']
Community 1074: ['4611']
Community 1075: ['4613']
Community 1076: ['4614']
Community 1077: ['4615']
Community 1078: ['4616']
Community 1079: ['4617']
Community 1080: ['4618']
Community 1081: ['4619']
Community 1082: ['4621']
Community 1083: ['4622']
Community 1084: ['4623']
Community 1085: ['4624']
Community 1086: ['4625']
Community 1087: ['4626']
Community 1088: ['4627']
Community 1089: ['4628']
Community 1090: ['4629']
Community 1091: ['4630']
Community 1092: ['4631']
Community 1093: ['4632']
Community 1094: ['4633']
Community 1095: ['4634']
Community 1096: ['4635']
Community 1097: ['4636']
Community 1098: ['4637']
Community 1099: ['4638']
Community 1100: ['4639']
Community 1101: ['4640']
Community 1102: ['4641']
Community 1103: ['4642']
Community 1104: ['4643']
Community 1105: ['4644']
Community 1106: ['4645']
Community 1107: ['4646']
Community 1108: ['4647']
Community 1109: ['4648']
Community 1110: ['4649']
Community 1111: ['4650']
Community 1112: ['4651']
Community 1113: ['4652']
Community 1114: ['4654']
Community 1115: ['4655']
Community 1116: ['4656']
Community 1117: ['4657']
Community 1118: ['4658']
Community 1119: ['4659']
Community 1120: ['4660']
Community 1121: ['4661']
Community 1122: ['4662']
Community 1123: ['4663']
Community 1124: ['4664']
Community 1125: ['4665']
Community 1126: ['4666']
Community 1127: ['4667']
Community 1128: ['4668']
Community 1129: ['4669']
Community 1130: ['4670']
Community 1131: ['4671']
Community 1132: ['4672']
Community 1133: ['4673']
Community 1134: ['4674']
Community 1135: ['4675']
Community 1136: ['4676']
Community 1137: ['4677']
Community 1138: ['4678']
Community 1139: ['4679']
Community 1140: ['4680']
Community 1141: ['4681']
Community 1142: ['4682']
Community 1143: ['4683']
Community 1144: ['4684']
Community 1145: ['4686']
Community 1146: ['4687']
Community 1147: ['4688']
Community 1148: ['4689']
Community 1149: ['4690']
Community 1150: ['4691']
Community 1151: ['4692']
Community 1152: ['4694']
Community 1153: ['4695']
Community 1154: ['4696']
Community 1155: ['4697']
Community 1156: ['4698']
Community 1157: ['4699']
Community 1158: ['4700']
Community 1159: ['4701']
Community 1160: ['4702']
Community 1161: ['4703']
Community 1162: ['4704']
Community 1163: ['4705']
Community 1164: ['4706']
Community 1165: ['4707']
Community 1166: ['4708']
Community 1167: ['4709']
Community 1168: ['4710']
Community 1169: ['4711']
Community 1170: ['4712']
Community 1171: ['4713']
Community 1172: ['4714']
Community 1173: ['4715']
Community 1174: ['4716']
Community 1175: ['4717']
Community 1176: ['4718']
Community 1177: ['4719']
Community 1178: ['4720']
Community 1179: ['4721']
Community 1180: ['4722']
Community 1181: ['4723']
Community 1182: ['4724']
Community 1183: ['4725']
Community 1184: ['4727']
Community 1185: ['4728']
Community 1186: ['4729']
Community 1187: ['4730']
Community 1188: ['4731']
Community 1189: ['4732']
Community 1190: ['4733']
Community 1191: ['4734']
Community 1192: ['4735']
Community 1193: ['4736']
Community 1194: ['4737']
Community 1195: ['4738']
Community 1196: ['4739']
Community 1197: ['4740']
Community 1198: ['4741']
Community 1199: ['4742']
Community 1200: ['4743']
Community 1201: ['4744']
Community 1202: ['4745']
Community 1203: ['4746']
Community 1204: ['4747']
Community 1205: ['4748']
Community 1206: ['4749']
Community 1207: ['4750']
Community 1208: ['4751']
Community 1209: ['4752']
Community 1210: ['4753']
Community 1211: ['4754']
Community 1212: ['4755']
Community 1213: ['4756']
Community 1214: ['4757']
Community 1215: ['4759']
Community 1216: ['4760']
Community 1217: ['4761']
Community 1218: ['4762']
Community 1219: ['4763']
Community 1220: ['4764']
Community 1221: ['4765']
Community 1222: ['4767']
Community 1223: ['4768']
Community 1224: ['4769']
Community 1225: ['4770']
Community 1226: ['4771']
Community 1227: ['4772']
Community 1228: ['4773']
Community 1229: ['4774']
Community 1230: ['4775']
Community 1231: ['4776']
Community 1232: ['4777']
Community 1233: ['4778']
Community 1234: ['4779']
Community 1235: ['4780']
Community 1236: ['4781']
Community 1237: ['4782']
Community 1238: ['4783']
Community 1239: ['4784']
Community 1240: ['4785']
Community 1241: ['4786']
Community 1242: ['4787']
Community 1243: ['4788']
