Time Cost: 68.62752771377563s
Community 892: ['4055']
Community 893: ['4056']
Community 894: ['4057']
Community 895: ['4058']
Community 896: ['4059']
Community 897: ['4060']
Community 898: ['4061']
Community 899: ['4062']
Community 900: ['4063']
Community 901: ['4064']
Community 902: ['4065']
Community 903: ['4066']
Community 904: ['4067']
Community 905: ['4068']
Community 906: ['4069']
Community 907: ['4070']
Community 908: ['4071']
Community 909: ['4072']
Community 910: ['4073']
Community 911: ['4074']
Community 912: ['4075']
Community 913: ['4076']
Community 914: ['4077']
Community 915: ['4078']
Community 916: ['4079']
Community 917: ['4080']
Community 918: ['4081']
Community 919: ['4082']
Community 920: ['4083']
Community 921: ['4084']
Community 922: ['4085']
Community 923: ['4086']
Community 924: ['4087']
Community 925: ['4088']
Community 926: ['4089']
Community 927: ['4090']
Community 928: ['4091']
Community 929: ['4092']
Community 930: ['4093']
Community 931: ['4094']
Community 932: ['4095']
Community 933: ['4096']
Community 934: ['4097']
Community 935: ['4098']
Community 936: ['4099']
Community 937: ['4100']
Community 938: ['4101']
Community 939: ['4102']
Community 940: ['4103']
Community 941: ['4104']
Community 942: ['4105']
Community 943: ['4106']
Community 944: ['4107']
Community 945: ['4108']
Community 946: ['4109']
Community 947: ['4110']
Community 948: ['4111']
Community 949: ['4112']
Community 950: ['4113']
Community 951: ['4114']
Community 952: ['4115']
Community 953: ['4116']
Community 954: ['4117']
Community 955: ['4118']
Community 956: ['4119']
Community 957: ['4120']
Community 958: ['4121']
Community 959: ['4122']
Community 960: ['4123']
Community 961: ['4124']
Community 962: ['4125']
Community 963: ['4126']
Community 964: ['4127']
Community 965: ['4128']
Community 966: ['4129']
Community 967: ['4130']
Community 968: ['4131']
Community 969: ['4132']
Community 970: ['4133']
Community 971: ['4134']
Community 972: ['4135']
Community 973: ['4136']
Community 974: ['4137']
Community 975: ['4138']
Community 976: ['4139']
Community 977: ['4140']
Community 978: ['4141']
Community 979: ['4142']
Community 980: ['4143']
Community 981: ['4144']
Community 982: ['4145']
Community 983: ['4146']
Community 984: ['4147']
Community 985: ['4148']
Community 986: ['4149']
Community 987: ['4150']
Community 988: ['4151']
Community 989: ['4152']
Community 990: ['4153']
Community 991: ['4154']
Community 992: ['4155']
Community 993: ['4156']
Community 994: ['4157']
Community 995: ['4158']
Community 996: ['4159']
Community 997: ['4160']
Community 998: ['4161']
Community 999: ['4162']
Community 1000: ['4163']
Community 1001: ['4164']
Community 1002: ['4165']
Community 1003: ['4166']
Community 1004: ['4167']
Community 1005: ['4168']
Community 1006: ['4169']
Community 1007: ['4170']
Community 1008: ['4171']
Community 1009: ['4172']
Community 1010: ['4173']
Community 1011: ['4174']
Community 1012: ['4175']
Community 1013: ['4176']
Community 1014: ['4177']
Community 1015: ['4178']
Community 1016: ['4179']
Community 1017: ['4180']
Community 1018: ['4181']
Community 1019: ['4182']
Community 1020: ['4183']
Community 1021: ['4184']
Community 1022: ['4185']
Community 1023: ['4186']
Community 1024: ['4187']
Community 1025: ['4188']
Community 1026: ['4189']
Community 1027: ['4190']
Community 1028: ['4191']
Community 1029: ['4192']
Community 1030: ['4193']
Community 1031: ['4194']
Community 1032: ['4195']
Community 1033: ['4196']
Community 1034: ['4197']
