Solution index,Edge index,Total cell-cell edges,Edges colored,Color percentage
6535,44,108,63,0.5833333333333334
6536,44,109,64,0.5871559633027523
6537,41,108,66,0.6111111111111112
6538,41,108,66,0.6111111111111112
6539,78,108,29,0.26851851851851855
6540,87,106,18,0.16981132075471697
6541,43,106,62,0.5849056603773585
6542,45,107,61,0.5700934579439252
6543,44,108,63,0.5833333333333334
6544,43,108,64,0.5925925925925926
6545,45,107,61,0.5700934579439252
6546,42,105,62,0.5904761904761905
6547,76,108,31,0.28703703703703703
6548,48,108,59,0.5462962962962963
6549,41,110,68,0.6181818181818182
6550,41,108,66,0.6111111111111112
6551,49,110,60,0.5454545454545454
6552,45,108,62,0.5740740740740741
6553,43,109,65,0.5963302752293578
6554,50,107,56,0.5233644859813084
6555,44,108,63,0.5833333333333334
6556,47,109,61,0.5596330275229358
6557,46,109,62,0.5688073394495413
6558,86,108,21,0.19444444444444445
6559,91,108,16,0.14814814814814814
6560,78,108,29,0.26851851851851855
6561,44,110,65,0.5909090909090909
6562,83,108,24,0.2222222222222222
6563,47,108,60,0.5555555555555556
6564,42,107,64,0.5981308411214953
6565,69,110,40,0.36363636363636365
6566,43,109,65,0.5963302752293578
6567,50,109,58,0.5321100917431193
6568,49,110,60,0.5454545454545454
6569,44,107,62,0.5794392523364486
6570,41,109,67,0.6146788990825688
6571,63,110,46,0.41818181818181815
6572,85,110,24,0.21818181818181817
6573,84,108,23,0.21296296296296297
6574,91,106,14,0.1320754716981132
6575,49,108,58,0.5370370370370371
6576,84,108,23,0.21296296296296297
6577,51,110,58,0.5272727272727272
6578,50,108,57,0.5277777777777778
6579,44,109,64,0.5871559633027523
6580,94,107,12,0.11214953271028037
6581,42,107,64,0.5981308411214953
6582,43,109,65,0.5963302752293578
6583,70,110,39,0.35454545454545455
6584,108,109,0,0.0
6585,49,106,56,0.5283018867924528
6586,55,108,52,0.48148148148148145
6587,89,109,19,0.1743119266055046
6588,44,108,63,0.5833333333333334
6589,49,110,60,0.5454545454545454
6590,89,109,19,0.1743119266055046
6591,36,107,70,0.6542056074766355
6592,48,109,60,0.5504587155963303
6593,44,108,63,0.5833333333333334
6594,48,106,57,0.5377358490566038
6595,42,109,66,0.6055045871559633
6596,45,109,63,0.5779816513761468
6597,39,107,67,0.6261682242990654
6598,42,108,65,0.6018518518518519
6599,37,107,69,0.6448598130841121
6600,47,107,59,0.5514018691588785
6601,84,108,23,0.21296296296296297
6602,50,110,59,0.5363636363636364
6603,45,106,60,0.5660377358490566
6604,49,107,57,0.5327102803738317
6605,81,108,26,0.24074074074074073
6606,50,109,58,0.5321100917431193
6607,37,106,68,0.6415094339622641
6608,26,109,82,0.7522935779816514
6609,80,108,27,0.25
6610,40,107,66,0.616822429906542
6611,83,108,24,0.2222222222222222
6612,83,109,25,0.22935779816513763
6613,49,109,59,0.5412844036697247
