Time Cost: 31473.23913693428s
Community 469: ['20464', '20465', '20466']
Community 470: ['20468', '20469', '20470']
Community 471: ['20472', '20473', '20474']
Community 472: ['20476', '20477', '20478']
Community 473: ['20480', '20481', '20482']
Community 474: ['20484', '20485', '20486']
Community 475: ['20488', '20489', '20490']
Community 476: ['20492', '20493', '20494']
Community 477: ['20496', '20497', '20498']
Community 478: ['20500', '20501', '20502']
Community 479: ['20504', '20505', '20506']
Community 480: ['20508', '20509', '20510']
Community 481: ['20512', '20513', '20514']
Community 482: ['20516', '20517', '20518']
Community 483: ['20520', '20521', '20522']
Community 484: ['20524', '20525', '20526']
Community 485: ['20528', '20529', '20530']
Community 486: ['20532', '20533', '20534']
Community 487: ['20540', '20572', '20573']
Community 488: ['20541', '20542', '20543', '20544', '20546']
Community 489: ['20545', '20547', '20548', '20549', '20551', '20552']
Community 490: ['20550', '20589', '20590', '20591', '20592']
Community 491: ['20553', '20554', '20555', '20556', '20557', '20558', '20559', '20560', '20561', '20562', '20564']
Community 492: ['20563', '20605', '20606', '20607', '20608']
Community 493: ['20565', '20566', '20567', '20569', '20570', '20571']
Community 494: ['20568', '20609', '20610', '20611', '20612', '20613', '20614', '20615', '20622']
Community 495: ['20575', '20616', '20617', '20618', '20619']
Community 496: ['20577', '20578', '20579', '20580', '20581', '20582', '20583', '20584', '20585', '20586', '20587', '20626', '20627']
Community 497: ['20588']
Community 498: ['20593', '20594', '20595', '20596', '20597', '20598', '20599', '20600', '20601', '20602', '20603', '20604']
Community 499: ['20621', '20666', '20667', '20668', '20669']
Community 500: ['20623', '20659', '20660', '20661', '20662', '20663', '20664', '20665', '20672']
Community 501: ['20624']
Community 502: ['20625', '20654', '20655', '20656', '20657', '20658', '20674']
Community 503: ['20628', '20629', '20630', '20631', '20633']
Community 504: ['20632', '20634']
Community 505: ['20635', '20636', '20676', '20677']
Community 506: ['20637', '20638', '20641']
Community 507: ['20639', '20640', '20642']
Community 508: ['20643', '20644', '20645', '20646', '20647', '20648', '20649', '20650', '20651', '20652', '20653']
Community 509: ['20671', '20718', '20719', '20720', '20721']
Community 510: ['20673', '20717']
Community 511: ['20675', '20757', '20759']
Community 512: ['20678', '20679', '20680', '20681', '20683']
Community 513: ['20682', '20684']
Community 514: ['20685', '20686', '20726', '20727']
Community 515: ['20687', '20688', '20691']
Community 516: ['20689', '20690', '20692']
Community 517: ['20693', '20694', '20695', '20696', '20697', '20698', '20699', '20700', '20701', '20702', '20703']
Community 518: ['20704', '20709']
Community 519: ['20705', '20706', '20707', '20708', '20710']
Community 520: ['20711', '20712', '20713', '20714']
Community 521: ['20715', '20716', '20724']
Community 522: ['20723', '20770', '20771', '20772', '20773']
Community 523: ['20725', '20763', '20764', '20765', '20766', '20767', '20768', '20769', '20776']
Community 524: ['20728', '20729', '20730', '20731', '20733']
Community 525: ['20732', '20734']
Community 526: ['20735', '20736', '20780', '20781']
Community 527: ['20737', '20738', '20741']
Community 528: ['20739', '20740', '20742']
Community 529: ['20743', '20744', '20745', '20746', '20747', '20748', '20749', '20750', '20751', '20752', '20753', '20754']
Community 530: ['20755', '20756', '20758', '20760']
Community 531: ['20761', '20762']
Community 532: ['20775', '20820', '20821', '20822', '20823']
Community 533: ['20777', '20813', '20814', '20815', '20816', '20817', '20818', '20819', '20826']
Community 534: ['20778']
Community 535: ['20779', '20808', '20809', '20810', '20811', '20812', '20828']
Community 536: ['20782', '20783', '20784', '20785', '20787']
Community 537: ['20786', '20788']
Community 538: ['20789', '20790', '20830', '20831']
Community 539: ['20791', '20792', '20795']
Community 540: ['20793', '20794', '20796']
Community 541: ['20797', '20798', '20799', '20800', '20801', '20802', '20803', '20804', '20805', '20806', '20807']
Community 542: ['20825', '20870', '20871', '20872', '20873']
Community 543: ['20827', '20863', '20864', '20865', '20866', '20867', '20868', '20869', '20876']
Community 544: ['20829', '20858', '20859', '20860', '20861', '20862', '20878']
Community 545: ['20832', '20833', '20834', '20835', '20837']
Community 546: ['20836', '20838']
Community 547: ['20839', '20840', '20841', '20842', '20843', '20844', '20845', '20846', '20888']
Community 548: ['20847', '20848', '20849', '20850', '20851', '20852', '20853', '20854', '20855', '20856', '20857']
Community 549: ['20875', '20922', '20923', '20924', '20925']
Community 550: ['20877', '20915', '20916', '20917', '20918', '20919', '20920', '20921', '20928']
Community 551: ['20879', '20910', '20911', '20912', '20913', '20914', '20930']
Community 552: ['20880', '20881', '20882', '20883', '20885']
